1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Min testing accuracy: 0.89000; batch size: 200; learning rate: 0.01250
Max training loss: 1.55604; batch size: 10000; learning rate: 0.02000
Max testing loss: 1.57670; batch size: 200; learning rate: 0.01250
Min training loss: 1.52520; batch size: 50; learning rate: 0.02000
Min testing loss: 1.49135; batch size: 50; learning rate: 0.02000
Time: 0:8:8
===========================================================================================
Count of epochs: 10; batch size: 200; learning rate: 0.00833
Epoch 1/1000... Training accuracy.: 0.89825; testing accuracy.: 0.90000
Training loss: 1.57792; testing loss: 1.57108;
-------------------------------------------------------------------------------------------
Epoch 2/1000... Training accuracy.: 0.92042; testing accuracy.: 0.94000
Training loss: 1.54777; testing loss: 1.53392;
-------------------------------------------------------------------------------------------
Epoch 3/1000... Training accuracy.: 0.92613; testing accuracy.: 0.94500
Training loss: 1.54106; testing loss: 1.52000;
-------------------------------------------------------------------------------------------
Epoch 4/1000... Training accuracy.: 0.92993; testing accuracy.: 0.92000
Training loss: 1.53688; testing loss: 1.54048;
-------------------------------------------------------------------------------------------
Epoch 5/1000... Training accuracy.: 0.93207; testing accuracy.: 0.91500
Training loss: 1.53462; testing loss: 1.54917;
-------------------------------------------------------------------------------------------
Epoch 6/1000... Training accuracy.: 0.93398; testing accuracy.: 0.91000
Training loss: 1.53240; testing loss: 1.54981;
-------------------------------------------------------------------------------------------
Epoch 7/1000... Training accuracy.: 0.93548; testing accuracy.: 0.91000
Training loss: 1.53052; testing loss: 1.54947;
-------------------------------------------------------------------------------------------
Epoch 8/1000... Training accuracy.: 0.93702; testing accuracy.: 0.91500
Training loss: 1.52898; testing loss: 1.54540;
-------------------------------------------------------------------------------------------
Epoch 9/1000... Training accuracy.: 0.93847; testing accuracy.: 0.95500
Training loss: 1.52792; testing loss: 1.51548;
-------------------------------------------------------------------------------------------
Epoch 10/1000... Training accuracy.: 0.93927; testing accuracy.: 0.93000
Training loss: 1.52688; testing loss: 1.52902;
-------------------------------------------------------------------------------------------
Epoch 11/1000... Training accuracy.: 0.94033; testing accuracy.: 0.93500
Training loss: 1.52576; testing loss: 1.53410;
-------------------------------------------------------------------------------------------
Epoch 12/1000... Training accuracy.: 0.94100; testing accuracy.: 0.91500
Training loss: 1.52506; testing loss: 1.54887;
-------------------------------------------------------------------------------------------
Epoch 13/1000... Training accuracy.: 0.94155; testing accuracy.: 0.96000
Training loss: 1.52435; testing loss: 1.50564;
-------------------------------------------------------------------------------------------
Epoch 14/1000... Training accuracy.: 0.94245; testing accuracy.: 0.90500
Training loss: 1.52347; testing loss: 1.55435;
-------------------------------------------------------------------------------------------
Epoch 15/1000... Training accuracy.: 0.94338; testing accuracy.: 0.90000
Training loss: 1.52271; testing loss: 1.56030;
-------------------------------------------------------------------------------------------
Epoch 16/1000... Training accuracy.: 0.94387; testing accuracy.: 0.91000
Training loss: 1.52205; testing loss: 1.54972;
-------------------------------------------------------------------------------------------
Epoch 17/1000... Training accuracy.: 0.94443; testing accuracy.: 0.90000
Training loss: 1.52148; testing loss: 1.55849;
-------------------------------------------------------------------------------------------
Epoch 18/1000... Training accuracy.: 0.94498; testing accuracy.: 0.92500
Training loss: 1.52104; testing loss: 1.53544;
-------------------------------------------------------------------------------------------
Epoch 19/1000... Training accuracy.: 0.94548; testing accuracy.: 0.90000
Training loss: 1.52060; testing loss: 1.56064;
-------------------------------------------------------------------------------------------
Epoch 20/1000... Training accuracy.: 0.94573; testing accuracy.: 0.95500
Training loss: 1.52020; testing loss: 1.51287;
-------------------------------------------------------------------------------------------
Epoch 21/1000... Training accuracy.: 0.94602; testing accuracy.: 0.90500
Training loss: 1.51973; testing loss: 1.55349;
-------------------------------------------------------------------------------------------
Epoch 22/1000... Training accuracy.: 0.94647; testing accuracy.: 0.88500
Training loss: 1.51925; testing loss: 1.56983;
-------------------------------------------------------------------------------------------
Epoch 23/1000... Training accuracy.: 0.94675; testing accuracy.: 0.91000
Training loss: 1.51904; testing loss: 1.54645;
-------------------------------------------------------------------------------------------
Epoch 24/1000... Training accuracy.: 0.94688; testing accuracy.: 0.92000
Training loss: 1.51864; testing loss: 1.54490;
-------------------------------------------------------------------------------------------
Epoch 25/1000... Training accuracy.: 0.94738; testing accuracy.: 0.93000
Training loss: 1.51830; testing loss: 1.53302;
-------------------------------------------------------------------------------------------
Epoch 26/1000... Training accuracy.: 0.94775; testing accuracy.: 0.93000
Training loss: 1.51793; testing loss: 1.53347;
-------------------------------------------------------------------------------------------
Epoch 27/1000... Training accuracy.: 0.94783; testing accuracy.: 0.91500
Training loss: 1.51778; testing loss: 1.55156;
-------------------------------------------------------------------------------------------
Epoch 28/1000... Training accuracy.: 0.94828; testing accuracy.: 0.94000
Training loss: 1.51737; testing loss: 1.52222;
-------------------------------------------------------------------------------------------
Epoch 29/1000... Training accuracy.: 0.94843; testing accuracy.: 0.95500
Training loss: 1.51719; testing loss: 1.50581;
-------------------------------------------------------------------------------------------
Epoch 30/1000... Training accuracy.: 0.94835; testing accuracy.: 0.95000
Training loss: 1.51701; testing loss: 1.52123;
-------------------------------------------------------------------------------------------
Epoch 31/1000... Training accuracy.: 0.94882; testing accuracy.: 0.92000
Training loss: 1.51676; testing loss: 1.54023;
-------------------------------------------------------------------------------------------
Epoch 32/1000... Training accuracy.: 0.94883; testing accuracy.: 0.92500
Training loss: 1.51646; testing loss: 1.53708;
-------------------------------------------------------------------------------------------
Epoch 33/1000... Training accuracy.: 0.94917; testing accuracy.: 0.95000
Training loss: 1.51626; testing loss: 1.51042;
-------------------------------------------------------------------------------------------
Epoch 34/1000... Training accuracy.: 0.94935; testing accuracy.: 0.91500
Training loss: 1.51599; testing loss: 1.54258;
-------------------------------------------------------------------------------------------
Epoch 35/1000... Training accuracy.: 0.94968; testing accuracy.: 0.94000
Training loss: 1.51587; testing loss: 1.51886;
-------------------------------------------------------------------------------------------
Epoch 36/1000... Training accuracy.: 0.94967; testing accuracy.: 0.91500
Training loss: 1.51566; testing loss: 1.54469;
-------------------------------------------------------------------------------------------
Epoch 37/1000... Training accuracy.: 0.94998; testing accuracy.: 0.93500
Training loss: 1.51536; testing loss: 1.53032;
-------------------------------------------------------------------------------------------
Epoch 38/1000... Training accuracy.: 0.95023; testing accuracy.: 0.95000
Training loss: 1.51527; testing loss: 1.51196;
-------------------------------------------------------------------------------------------
Epoch 39/1000... Training accuracy.: 0.95030; testing accuracy.: 0.95000
Training loss: 1.51515; testing loss: 1.51514;
-------------------------------------------------------------------------------------------
Epoch 40/1000... Training accuracy.: 0.95053; testing accuracy.: 0.93500
Training loss: 1.51500; testing loss: 1.52575;
-------------------------------------------------------------------------------------------
Epoch 41/1000... Training accuracy.: 0.95057; testing accuracy.: 0.94000
Training loss: 1.51482; testing loss: 1.52140;
-------------------------------------------------------------------------------------------
Epoch 42/1000... Training accuracy.: 0.95075; testing accuracy.: 0.92000
Training loss: 1.51467; testing loss: 1.54242;
-------------------------------------------------------------------------------------------
Epoch 43/1000... Training accuracy.: 0.95107; testing accuracy.: 0.92500
Training loss: 1.51448; testing loss: 1.54118;
-------------------------------------------------------------------------------------------
Epoch 44/1000... Training accuracy.: 0.95107; testing accuracy.: 0.95000
Training loss: 1.51439; testing loss: 1.50716;
-------------------------------------------------------------------------------------------
Epoch 45/1000... Training accuracy.: 0.95117; testing accuracy.: 0.91000
Training loss: 1.51418; testing loss: 1.55020;
-------------------------------------------------------------------------------------------
Epoch 46/1000... Training accuracy.: 0.95137; testing accuracy.: 0.92000
Training loss: 1.51405; testing loss: 1.53781;
-------------------------------------------------------------------------------------------
Epoch 47/1000... Training accuracy.: 0.95130; testing accuracy.: 0.93500
Training loss: 1.51393; testing loss: 1.52522;
-------------------------------------------------------------------------------------------
Epoch 48/1000... Training accuracy.: 0.95143; testing accuracy.: 0.93000
Training loss: 1.51369; testing loss: 1.53385;
-------------------------------------------------------------------------------------------
Epoch 49/1000... Training accuracy.: 0.95158; testing accuracy.: 0.94000
Training loss: 1.51361; testing loss: 1.51535;
-------------------------------------------------------------------------------------------
Epoch 50/1000... Training accuracy.: 0.95163; testing accuracy.: 0.92500
Training loss: 1.51350; testing loss: 1.53550;
-------------------------------------------------------------------------------------------
Epoch 51/1000... Training accuracy.: 0.95195; testing accuracy.: 0.92500
Training loss: 1.51329; testing loss: 1.54092;
-------------------------------------------------------------------------------------------
Epoch 52/1000... Training accuracy.: 0.95173; testing accuracy.: 0.96000
Training loss: 1.51334; testing loss: 1.50286;
-------------------------------------------------------------------------------------------
Epoch 53/1000... Training accuracy.: 0.95195; testing accuracy.: 0.94500
Training loss: 1.51321; testing loss: 1.51451;
-------------------------------------------------------------------------------------------
Epoch 54/1000... Training accuracy.: 0.95200; testing accuracy.: 0.93000
Training loss: 1.51297; testing loss: 1.53058;
-------------------------------------------------------------------------------------------
Epoch 55/1000... Training accuracy.: 0.95215; testing accuracy.: 0.91000
Training loss: 1.51300; testing loss: 1.54900;
-------------------------------------------------------------------------------------------
Epoch 56/1000... Training accuracy.: 0.95195; testing accuracy.: 0.96500
Training loss: 1.51281; testing loss: 1.49598;
-------------------------------------------------------------------------------------------
Epoch 57/1000... Training accuracy.: 0.95267; testing accuracy.: 0.94000
Training loss: 1.51261; testing loss: 1.52234;
-------------------------------------------------------------------------------------------
Epoch 58/1000... Training accuracy.: 0.95257; testing accuracy.: 0.92500
Training loss: 1.51253; testing loss: 1.53419;
-------------------------------------------------------------------------------------------
Epoch 59/1000... Training accuracy.: 0.95255; testing accuracy.: 0.94000
Training loss: 1.51252; testing loss: 1.52650;
-------------------------------------------------------------------------------------------
Epoch 60/1000... Training accuracy.: 0.95255; testing accuracy.: 0.91000
Training loss: 1.51245; testing loss: 1.55293;
-------------------------------------------------------------------------------------------
Epoch 61/1000... Training accuracy.: 0.95292; testing accuracy.: 0.93500
Training loss: 1.51224; testing loss: 1.52824;
-------------------------------------------------------------------------------------------
Epoch 62/1000... Training accuracy.: 0.95285; testing accuracy.: 0.92500
Training loss: 1.51217; testing loss: 1.53426;
-------------------------------------------------------------------------------------------
Epoch 63/1000... Training accuracy.: 0.95302; testing accuracy.: 0.93500
Training loss: 1.51206; testing loss: 1.52712;
-------------------------------------------------------------------------------------------
Epoch 64/1000... Training accuracy.: 0.95278; testing accuracy.: 0.95000
Training loss: 1.51216; testing loss: 1.51247;
-------------------------------------------------------------------------------------------
Epoch 65/1000... Training accuracy.: 0.95293; testing accuracy.: 0.92000
Training loss: 1.51189; testing loss: 1.54020;
-------------------------------------------------------------------------------------------
Epoch 66/1000... Training accuracy.: 0.95295; testing accuracy.: 0.91000
Training loss: 1.51192; testing loss: 1.55233;
-------------------------------------------------------------------------------------------
Epoch 67/1000... Training accuracy.: 0.95305; testing accuracy.: 0.90500
Training loss: 1.51181; testing loss: 1.55853;
-------------------------------------------------------------------------------------------
Epoch 68/1000... Training accuracy.: 0.95328; testing accuracy.: 0.96000
Training loss: 1.51167; testing loss: 1.50228;
-------------------------------------------------------------------------------------------
Epoch 69/1000... Training accuracy.: 0.95320; testing accuracy.: 0.93500
Training loss: 1.51164; testing loss: 1.52965;
-------------------------------------------------------------------------------------------
Epoch 70/1000... Training accuracy.: 0.95328; testing accuracy.: 0.94500
Training loss: 1.51158; testing loss: 1.51668;
-------------------------------------------------------------------------------------------
Epoch 71/1000... Training accuracy.: 0.95362; testing accuracy.: 0.94500
Training loss: 1.51139; testing loss: 1.51780;
-------------------------------------------------------------------------------------------
Epoch 72/1000... Training accuracy.: 0.95342; testing accuracy.: 0.95000
Training loss: 1.51145; testing loss: 1.51291;
-------------------------------------------------------------------------------------------
Epoch 73/1000... Training accuracy.: 0.95345; testing accuracy.: 0.92000
Training loss: 1.51136; testing loss: 1.54429;
-------------------------------------------------------------------------------------------
Epoch 74/1000... Training accuracy.: 0.95355; testing accuracy.: 0.92500
Training loss: 1.51126; testing loss: 1.54046;
-------------------------------------------------------------------------------------------
Epoch 75/1000... Training accuracy.: 0.95358; testing accuracy.: 0.90000
Training loss: 1.51120; testing loss: 1.56094;
-------------------------------------------------------------------------------------------
Epoch 76/1000... Training accuracy.: 0.95350; testing accuracy.: 0.96500
Training loss: 1.51113; testing loss: 1.49327;
-------------------------------------------------------------------------------------------
Epoch 77/1000... Training accuracy.: 0.95372; testing accuracy.: 0.90000
Training loss: 1.51100; testing loss: 1.57128;
-------------------------------------------------------------------------------------------
Epoch 78/1000... Training accuracy.: 0.95377; testing accuracy.: 0.96500
Training loss: 1.51094; testing loss: 1.49872;
-------------------------------------------------------------------------------------------
Epoch 79/1000... Training accuracy.: 0.95387; testing accuracy.: 0.89500
Training loss: 1.51092; testing loss: 1.56675;
-------------------------------------------------------------------------------------------
Epoch 80/1000... Training accuracy.: 0.95380; testing accuracy.: 0.92500
Training loss: 1.51094; testing loss: 1.53472;
-------------------------------------------------------------------------------------------
Epoch 81/1000... Training accuracy.: 0.95388; testing accuracy.: 0.93500
Training loss: 1.51086; testing loss: 1.52838;
-------------------------------------------------------------------------------------------
Epoch 82/1000... Training accuracy.: 0.95385; testing accuracy.: 0.93000
Training loss: 1.51079; testing loss: 1.53004;
-------------------------------------------------------------------------------------------
Epoch 83/1000... Training accuracy.: 0.95397; testing accuracy.: 0.93000
Training loss: 1.51070; testing loss: 1.53013;
-------------------------------------------------------------------------------------------
Epoch 84/1000... Training accuracy.: 0.95413; testing accuracy.: 0.92500
Training loss: 1.51054; testing loss: 1.53665;
-------------------------------------------------------------------------------------------
Epoch 85/1000... Training accuracy.: 0.95412; testing accuracy.: 0.95500
Training loss: 1.51054; testing loss: 1.50625;
-------------------------------------------------------------------------------------------
Epoch 86/1000... Training accuracy.: 0.95413; testing accuracy.: 0.94000
Training loss: 1.51053; testing loss: 1.52255;
-------------------------------------------------------------------------------------------
Epoch 87/1000... Training accuracy.: 0.95405; testing accuracy.: 0.93000
Training loss: 1.51043; testing loss: 1.53343;
-------------------------------------------------------------------------------------------
Epoch 88/1000... Training accuracy.: 0.95432; testing accuracy.: 0.93500
Training loss: 1.51043; testing loss: 1.52102;
-------------------------------------------------------------------------------------------
Epoch 89/1000... Training accuracy.: 0.95428; testing accuracy.: 0.91500
Training loss: 1.51029; testing loss: 1.55022;
-------------------------------------------------------------------------------------------
Epoch 90/1000... Training accuracy.: 0.95413; testing accuracy.: 0.95000
Training loss: 1.51030; testing loss: 1.51345;
-------------------------------------------------------------------------------------------
Epoch 91/1000... Training accuracy.: 0.95442; testing accuracy.: 0.91500
Training loss: 1.51025; testing loss: 1.54700;
-------------------------------------------------------------------------------------------
Epoch 92/1000... Training accuracy.: 0.95440; testing accuracy.: 0.94500
Training loss: 1.51017; testing loss: 1.51594;
-------------------------------------------------------------------------------------------
Epoch 93/1000... Training accuracy.: 0.95430; testing accuracy.: 0.89000
Training loss: 1.51015; testing loss: 1.56709;
-------------------------------------------------------------------------------------------
Epoch 94/1000... Training accuracy.: 0.95447; testing accuracy.: 0.89000
Training loss: 1.51010; testing loss: 1.56525;
-------------------------------------------------------------------------------------------
Epoch 95/1000... Training accuracy.: 0.95450; testing accuracy.: 0.94000
Training loss: 1.51003; testing loss: 1.51860;
-------------------------------------------------------------------------------------------
Epoch 96/1000... Training accuracy.: 0.95453; testing accuracy.: 0.93000
Training loss: 1.51000; testing loss: 1.52878;
-------------------------------------------------------------------------------------------
Epoch 97/1000... Training accuracy.: 0.95457; testing accuracy.: 0.93500
Training loss: 1.50992; testing loss: 1.52617;
-------------------------------------------------------------------------------------------
Epoch 98/1000... Training accuracy.: 0.95448; testing accuracy.: 0.92000
Training loss: 1.50989; testing loss: 1.54009;
-------------------------------------------------------------------------------------------
Epoch 99/1000... Training accuracy.: 0.95452; testing accuracy.: 0.91500
Training loss: 1.50984; testing loss: 1.54970;
-------------------------------------------------------------------------------------------
Epoch 100/1000... Training accuracy.: 0.95460; testing accuracy.: 0.93500
Training loss: 1.50975; testing loss: 1.52404;
-------------------------------------------------------------------------------------------
Epoch 101/1000... Training accuracy.: 0.95477; testing accuracy.: 0.94500
Training loss: 1.50969; testing loss: 1.51890;
-------------------------------------------------------------------------------------------
Epoch 102/1000... Training accuracy.: 0.95472; testing accuracy.: 0.94000
Training loss: 1.50967; testing loss: 1.52106;
-------------------------------------------------------------------------------------------
Epoch 103/1000... Training accuracy.: 0.95448; testing accuracy.: 0.91500
Training loss: 1.50971; testing loss: 1.54856;
-------------------------------------------------------------------------------------------
Epoch 104/1000... Training accuracy.: 0.95485; testing accuracy.: 0.91500
Training loss: 1.50957; testing loss: 1.55103;
-------------------------------------------------------------------------------------------
Epoch 105/1000... Training accuracy.: 0.95482; testing accuracy.: 0.92000
Training loss: 1.50961; testing loss: 1.54387;
-------------------------------------------------------------------------------------------
Epoch 106/1000... Training accuracy.: 0.95477; testing accuracy.: 0.93000
Training loss: 1.50962; testing loss: 1.52871;
-------------------------------------------------------------------------------------------
Epoch 107/1000... Training accuracy.: 0.95475; testing accuracy.: 0.95500
Training loss: 1.50950; testing loss: 1.50744;
-------------------------------------------------------------------------------------------
Epoch 108/1000... Training accuracy.: 0.95485; testing accuracy.: 0.92000
Training loss: 1.50945; testing loss: 1.53876;
-------------------------------------------------------------------------------------------
Epoch 109/1000... Training accuracy.: 0.95485; testing accuracy.: 0.91000
Training loss: 1.50943; testing loss: 1.54733;
-------------------------------------------------------------------------------------------
Epoch 110/1000... Training accuracy.: 0.95492; testing accuracy.: 0.94000
Training loss: 1.50932; testing loss: 1.52260;
-------------------------------------------------------------------------------------------
Epoch 111/1000... Training accuracy.: 0.95495; testing accuracy.: 0.93500
Training loss: 1.50933; testing loss: 1.52634;
-------------------------------------------------------------------------------------------
Epoch 112/1000... Training accuracy.: 0.95493; testing accuracy.: 0.95000
Training loss: 1.50932; testing loss: 1.51226;
-------------------------------------------------------------------------------------------
Epoch 113/1000... Training accuracy.: 0.95503; testing accuracy.: 0.93500
Training loss: 1.50926; testing loss: 1.52196;
-------------------------------------------------------------------------------------------
Epoch 114/1000... Training accuracy.: 0.95490; testing accuracy.: 0.91500
Training loss: 1.50923; testing loss: 1.54754;
-------------------------------------------------------------------------------------------
Epoch 115/1000... Training accuracy.: 0.95503; testing accuracy.: 0.92000
Training loss: 1.50917; testing loss: 1.53808;
-------------------------------------------------------------------------------------------
Epoch 116/1000... Training accuracy.: 0.95503; testing accuracy.: 0.91000
Training loss: 1.50912; testing loss: 1.55152;
-------------------------------------------------------------------------------------------
Epoch 117/1000... Training accuracy.: 0.95502; testing accuracy.: 0.91500
Training loss: 1.50915; testing loss: 1.54699;
-------------------------------------------------------------------------------------------
Epoch 118/1000... Training accuracy.: 0.95522; testing accuracy.: 0.93000
Training loss: 1.50906; testing loss: 1.53796;
-------------------------------------------------------------------------------------------
Epoch 119/1000... Training accuracy.: 0.95517; testing accuracy.: 0.94000
Training loss: 1.50903; testing loss: 1.52072;
-------------------------------------------------------------------------------------------
Epoch 120/1000... Training accuracy.: 0.95512; testing accuracy.: 0.94000
Training loss: 1.50904; testing loss: 1.52250;
-------------------------------------------------------------------------------------------
Epoch 121/1000... Training accuracy.: 0.95507; testing accuracy.: 0.93500
Training loss: 1.50901; testing loss: 1.52705;
-------------------------------------------------------------------------------------------
Epoch 122/1000... Training accuracy.: 0.95518; testing accuracy.: 0.90500
Training loss: 1.50897; testing loss: 1.55938;
-------------------------------------------------------------------------------------------
Epoch 123/1000... Training accuracy.: 0.95520; testing accuracy.: 0.94000
Training loss: 1.50888; testing loss: 1.52375;
-------------------------------------------------------------------------------------------
Epoch 124/1000... Training accuracy.: 0.95525; testing accuracy.: 0.94500
Training loss: 1.50885; testing loss: 1.51450;
-------------------------------------------------------------------------------------------
