Вулиця;Кількість недобудов на вулиці;№ буд.;Рік;Кількість недобудов за рік;Матеріали;Рейтинг матеріалів;Кількість поверхів;Висота стелі;Стан
вул. Драйзера Теодора;1;9Г;1979;0;газоблок;1.40;17;2.74;Зданий
вул. Драйзера Теодора;1;9Д;1969;0;газоблок,цегла;3.40;11;3.05;Зданий
шосе Стратегічне;1;1;2005;2;к/б панель,монолітно-каркасний;3.00;16;2.56;Зданий
шосе Стратегічне;1;104;1974;0;газоблок;1.40;7;2.71;Зданий
шосе Стратегічне;1;11;1978;0;утеплювач,керамблок;1.90;11;2.81;Зданий
шосе Стратегічне;1;12;1975;0;з/б панель,цегла;3.70;9;3.12;Зданий
шосе Стратегічне;1;14;2003;1;утеплювач,монолітно-каркасний,цегла;4.00;18;2.86;Зданий
шосе Стратегічне;1;15;1966;0;монолітно-каркасний;1.30;21;3.15;Зданий
шосе Стратегічне;1;16;1993;0;к/б панель,монолітно-каркасний;3.00;13;3.04;Зданий
шосе Стратегічне;1;17;2004;0;вентильований фасад,к/б панель;2.60;23;2.52;Зданий
шосе Стратегічне;1;18;2017;5;з/б панель,монолітно-каркасний;3.00;19;2.95;Зданий
шосе Стратегічне;1;2;1984;0;к/б панель,керамблок;2.90;13;2.59;Зданий
шосе Стратегічне;1;20;2010;1;к/б панель,вентильований фасад;2.60;13;2.55;Зданий
шосе Стратегічне;1;22;2002;0;к/б панель,цегла;3.70;18;2.8;Зданий
шосе Стратегічне;1;22А;1970;0;цегла сілікатна;1.50;11;2.87;Зданий
шосе Стратегічне;1;24;2001;0;з/б панель,цегла сілікатна;3.20;10;3.14;Зданий
шосе Стратегічне;1;26;2021;4;керамблок;1.20;7;2.71;Зданий
шосе Стратегічне;1;27;2009;1;утеплювач,цегла сілікатна,керамблок;3.40;23;2.51;Зданий
шосе Стратегічне;1;2А;1963;0;керамблок;1.20;18;3.01;Зданий
шосе Стратегічне;1;3;1971;0;цегла;2.00;6;2.56;Зданий
шосе Стратегічне;1;30;2003;1;цегла;2.00;2;3.17;Зданий
шосе Стратегічне;1;32;1973;0;шлакоблок,утеплювач;1.70;15;2.7;Зданий
шосе Стратегічне;1;35;1981;0;цегла,з/б панель;3.70;2;2.93;Зданий
шосе Стратегічне;1;35А;1971;0;з/б панель;1.70;12;2.96;Зданий
шосе Стратегічне;1;36;1986;0;газоблок;1.40;15;2.71;Зданий
шосе Стратегічне;1;37;1989;0;шлакоблок;1.00;17;3.07;Зданий
шосе Стратегічне;1;37А;2018;2;з/б панель;1.70;12;2.84;Зданий
шосе Стратегічне;1;38;2004;0;керамблок,газоблок;2.60;17;2.64;Зданий
шосе Стратегічне;1;39;1971;0;з/б панель,цегла сілікатна;3.20;11;2.43;Зданий
шосе Стратегічне;1;39А;1978;0;цегла сілікатна,з/б панель;3.20;20;2.63;Зданий
шосе Стратегічне;1;4;1963;0;утеплювач,керамблок,к/б панель;3.60;4;2.97;Зданий
шосе Стратегічне;1;40;1987;0;газоблок;1.40;2;2.82;Зданий
шосе Стратегічне;1;41;1978;0;цегла сілікатна;1.50;12;2.66;Зданий
шосе Стратегічне;1;42;1979;0;цегла;2.00;16;3.13;Зданий
шосе Стратегічне;1;44;1991;0;цегла;2.00;10;3;Зданий
шосе Стратегічне;1;44А;1989;0;монолітно-каркасний,шлакоблок;2.30;5;2.59;Зданий
шосе Стратегічне;1;46;1979;0;газоблок,шлакоблок;2.40;3;3.02;Зданий
шосе Стратегічне;1;46А;1964;0;к/б панель,вентильований фасад;2.60;11;2.52;Зданий
шосе Стратегічне;1;48;2020;0;к/б панель,з/б панель;3.40;7;2.61;Зданий
шосе Стратегічне;1;48А;1989;0;цегла;2.00;24;2.77;Зданий
шосе Стратегічне;1;4А;1965;0;цегла сілікатна;1.50;10;3.1;Зданий
шосе Стратегічне;1;5;2002;0;утеплювач,шлакоблок;1.70;12;2.63;Зданий
шосе Стратегічне;1;50;2007;1;з/б панель,шлакоблок;2.70;4;2.52;Зданий
шосе Стратегічне;1;52;1994;0;газоблок,вентильований фасад;2.30;10;2.7;Зданий
шосе Стратегічне;1;53;2015;2;монолітно-каркасний,газоблок,утеплювач;3.40;25;2.8;Невдала будівля
шосе Стратегічне;1;54;1973;0;газоблок;1.40;24;3.03;Зданий
шосе Стратегічне;1;7;2009;1;утеплювач,к/б панель,вентильований фасад;3.30;10;2.63;Зданий
вул. Милославська;1;1;2009;1;газоблок,цегла;3.40;20;3.16;Зданий
вул. Милославська;1;10;1978;0;цегла,газоблок;3.40;2;2.58;Зданий
вул. Милославська;1;10А;1993;0;к/б панель;1.70;7;2.75;Зданий
вул. Милославська;1;11Б;1968;0;шлакоблок;1.00;5;2.69;Зданий
вул. Милославська;1;12;1992;0;цегла,газоблок;3.40;8;2.86;Зданий
вул. Милославська;1;12А;1980;0;цегла,шлакоблок;3.00;8;2.76;Зданий
вул. Милославська;1;12Б;2006;0;цегла,керамблок;3.20;12;2.49;Зданий
вул. Милославська;1;15;1976;0;газоблок,шлакоблок;2.40;4;2.83;Зданий
вул. Милославська;1;16;1963;0;газоблок,утеплювач;2.10;23;2.44;Зданий
вул. Милославська;1;17;1966;0;к/б панель;1.70;14;2.54;Зданий
вул. Милославська;1;17А;2017;5;вентильований фасад,шлакоблок;1.90;3;3.19;Зданий
вул. Милославська;1;19;1998;0;керамблок;1.20;8;2.93;Зданий
вул. Милославська;1;19А;1987;0;з/б панель;1.70;24;2.83;Зданий
вул. Милославська;1;2;1985;0;керамблок;1.20;1;2.97;Зданий
вул. Милославська;1;21;1970;0;з/б панель,цегла сілікатна;3.20;24;2.97;Зданий
вул. Милославська;1;21А;2015;2;цегла сілікатна,шлакоблок;2.50;2;2.52;Зданий
вул. Милославська;1;23;1996;0;цегла;2.00;22;2.4;Зданий
вул. Милославська;1;23А;1971;0;утеплювач,вентильований фасад,цегла;3.60;3;2.6;Зданий
вул. Милославська;1;23Б;1972;0;вентильований фасад,утеплювач;1.60;4;2.67;Зданий
вул. Милославська;1;23В;2012;2;утеплювач,керамблок,цегла;3.90;10;2.7;Зданий
вул. Милославська;1;23Г;1989;0;цегла сілікатна;1.50;18;3.08;Зданий
вул. Милославська;1;23Д;1994;0;керамблок;1.20;9;2.59;Зданий
вул. Милославська;1;25;2008;1;цегла;2.00;2;2.51;Зданий
вул. Милославська;1;25А;2006;0;цегла сілікатна;1.50;22;2.64;Зданий
вул. Милославська;1;27;1981;0;к/б панель;1.70;8;3.01;Зданий
вул. Милославська;1;28;1999;0;к/б панель,цегла сілікатна;3.20;20;2.7;Зданий
вул. Милославська;1;2А;1985;0;утеплювач,цегла сілікатна;2.20;24;2.68;Зданий
вул. Милославська;1;2Б;1972;0;з/б панель,шлакоблок;2.70;18;3.09;Зданий
вул. Милославська;1;2В;2012;2;шлакоблок,монолітно-каркасний;2.30;16;2.84;Зданий
вул. Милославська;1;3;1985;0;монолітно-каркасний,к/б панель;3.00;13;2.41;Зданий
вул. Милославська;1;31;1968;0;шлакоблок;1.00;9;2.86;Зданий
вул. Милославська;1;31-В;2014;5;монолітно-каркасний,газоблок,утеплювач;3.40;3;3;Невдала будівля
вул. Милославська;1;31Б;1968;0;керамблок,шлакоблок;2.20;21;3.01;Зданий
вул. Милославська;1;32;1990;0;утеплювач,монолітно-каркасний,керамблок;3.20;4;2.83;Зданий
вул. Милославська;1;33;1995;0;к/б панель;1.70;12;2.71;Зданий
вул. Милославська;1;33А;2005;2;к/б панель;1.70;9;3.18;Зданий
вул. Милославська;1;35;1965;0;шлакоблок,к/б панель;2.70;9;3.15;Зданий
вул. Милославська;1;37;1989;0;монолітно-каркасний,газоблок;2.70;6;2.73;Зданий
вул. Милославська;1;39;2000;0;вентильований фасад,керамблок,газоблок;3.50;23;2.84;Зданий
вул. Милославська;1;3А;1978;0;цегла сілікатна,к/б панель;3.20;16;2.46;Зданий
вул. Милославська;1;4;2002;0;цегла,керамблок;3.20;18;2.54;Зданий
вул. Милославська;1;41;2011;0;керамблок,монолітно-каркасний;2.50;5;3.09;Зданий
вул. Милославська;1;43;1961;0;монолітно-каркасний,цегла;3.30;20;3.01;Зданий
вул. Милославська;1;45;1982;0;вентильований фасад,утеплювач,з/б панель;3.30;8;2.8;Зданий
вул. Милославська;1;47;1961;0;цегла сілікатна,газоблок;2.90;12;3.06;Зданий
вул. Милославська;1;47А;2018;2;з/б панель;1.70;16;2.84;Зданий
вул. Милославська;1;48;1980;0;з/б панель,вентильований фасад;2.60;15;2.88;Зданий
вул. Милославська;1;49;1979;0;керамблок;1.20;20;2.45;Зданий
вул. Милославська;1;4А;2005;2;к/б панель,цегла сілікатна;3.20;17;2.97;Зданий
вул. Милославська;1;5;1994;0;газоблок,к/б панель;3.10;19;2.6;Зданий
вул. Милославська;1;51А;1981;0;керамблок,монолітно-каркасний;2.50;8;2.56;Зданий
вул. Милославська;1;58;1998;0;к/б панель;1.70;15;2.74;Зданий
вул. Милославська;1;5А;2016;2;газоблок;1.40;10;2.56;Зданий
вул. Милославська;1;5Б;1975;0;керамблок;1.20;24;2.46;Зданий
вул. Милославська;1;6;1976;0;шлакоблок;1.00;12;3.01;Зданий
вул. Милославська;1;7;2014;5;цегла сілікатна;1.50;12;2.91;Зданий
вул. Милославська;1;74;1992;0;монолітно-каркасний;1.30;23;2.59;Зданий
вул. Милославська;1;8;1991;0;утеплювач,монолітно-каркасний;2.00;14;2.89;Зданий
вул. Милославська;1;8А;1990;0;цегла;2.00;2;2.71;Зданий
вул. Милославська;1;8Б;1996;0;вентильований фасад,цегла;2.90;14;2.59;Зданий
просп. Науки;1;1;1961;0;к/б панель;1.70;13;2.57;Зданий
просп. Науки;1;10;2006;0;з/б панель;1.70;9;2.69;Зданий
просп. Науки;1;100;1963;0;к/б панель,керамблок;2.90;6;2.69;Зданий
просп. Науки;1;102;1998;0;вентильований фасад,к/б панель,з/б панель;4.30;24;3.15;Зданий
просп. Науки;1;11;2018;2;цегла сілікатна;1.50;13;2.66;Зданий
просп. Науки;1;119Б;1964;0;к/б панель,шлакоблок;2.70;16;3.14;Зданий
просп. Науки;1;11А;1986;0;утеплювач,цегла;2.70;20;3.06;Зданий
просп. Науки;1;13;2020;0;монолітно-каркасний;1.30;20;3.09;Зданий
просп. Науки;1;139;1997;0;цегла;2.00;5;2.86;Зданий
просп. Науки;1;14;2014;5;керамблок,цегла сілікатна;2.70;1;3.09;Зданий
просп. Науки;1;141;2004;0;шлакоблок;1.00;24;2.9;Зданий
просп. Науки;1;143;1970;0;керамблок;1.20;11;2.99;Зданий
просп. Науки;1;145;2000;0;цегла,монолітно-каркасний;3.30;7;2.65;Зданий
просп. Науки;1;145А;1993;0;монолітно-каркасний;1.30;23;2.72;Зданий
просп. Науки;1;147;1979;0;монолітно-каркасний;1.30;9;3.13;Зданий
просп. Науки;1;149;2013;4;вентильований фасад,газоблок,цегла сілікатна;3.80;2;2.78;Зданий
просп. Науки;1;15;2016;2;з/б панель,керамблок;2.90;9;3.09;Зданий
просп. Науки;1;151;1973;0;монолітно-каркасний,к/б панель;3.00;21;3.1;Зданий
просп. Науки;1;151А;1969;0;газоблок,к/б панель;3.10;7;3.01;Зданий
просп. Науки;1;153;1987;0;утеплювач,цегла сілікатна,цегла;4.20;5;3.17;Зданий
просп. Науки;1;155;2002;0;вентильований фасад,цегла сілікатна,цегла;4.40;5;2.55;Зданий
просп. Науки;1;157;1981;0;цегла;2.00;6;2.52;Зданий
просп. Науки;1;157А;1987;0;з/б панель,утеплювач;2.40;10;2.85;Зданий
просп. Науки;1;16;1981;0;утеплювач,к/б панель,цегла сілікатна;3.90;9;3.17;Зданий
просп. Науки;1;16А;1991;0;к/б панель,вентильований фасад;2.60;13;2.5;Зданий
просп. Науки;1;17;2005;2;утеплювач,з/б панель,вентильований фасад;3.30;2;2.71;Зданий
просп. Науки;1;18;1986;0;керамблок,шлакоблок;2.20;1;2.76;Зданий
просп. Науки;1;1корп1;1974;0;вентильований фасад,цегла;2.90;9;2.92;Зданий
просп. Науки;1;1корп10;1991;0;керамблок,цегла сілікатна;2.70;23;2.69;Зданий
просп. Науки;1;1корп11;2020;0;газоблок;1.40;16;2.93;Зданий
просп. Науки;1;1корп12;1969;0;шлакоблок;1.00;3;2.59;Зданий
просп. Науки;1;1корп13;1969;0;монолітно-каркасний,з/б панель;3.00;14;3.17;Зданий
просп. Науки;1;1корп14;2004;0;к/б панель,утеплювач;2.40;5;3.05;Зданий
просп. Науки;1;1корп15;1960;0;к/б панель;1.70;10;2.73;Зданий
просп. Науки;1;1корп2;1994;0;к/б панель,вентильований фасад;2.60;13;2.8;Зданий
просп. Науки;1;1корп4;1962;0;цегла сілікатна;1.50;13;2.8;Зданий
просп. Науки;1;1корп8;2014;5;цегла;2.00;9;3.05;Зданий
просп. Науки;1;1корп9;2012;2;з/б панель,керамблок;2.90;5;2.42;Зданий
просп. Науки;1;1корпус1;2000;0;з/б панель;1.70;6;2.54;Зданий
просп. Науки;1;2;1982;0;з/б панель;1.70;9;2.54;Зданий
просп. Науки;1;20;1964;0;керамблок,газоблок;2.60;6;3.09;Зданий
просп. Науки;1;21;1990;0;газоблок;1.40;14;2.51;Зданий
просп. Науки;1;22;1998;0;шлакоблок,к/б панель;2.70;20;2.61;Зданий
просп. Науки;1;23;1985;0;цегла сілікатна,монолітно-каркасний;2.80;10;2.5;Зданий
просп. Науки;1;24;1987;0;к/б панель,керамблок;2.90;2;2.44;Зданий
просп. Науки;1;24корп2;1962;0;цегла,керамблок;3.20;10;2.95;Зданий
просп. Науки;1;25;1961;0;цегла,утеплювач;2.70;17;3.17;Зданий
просп. Науки;1;26;1984;0;керамблок;1.20;3;2.51;Зданий
просп. Науки;1;27;1995;0;керамблок,к/б панель;2.90;14;3.14;Зданий
просп. Науки;1;28;1964;0;вентильований фасад,цегла сілікатна;2.40;20;2.72;Зданий
просп. Науки;1;29;1987;0;цегла,монолітно-каркасний;3.30;20;3;Зданий
просп. Науки;1;29А;2009;1;керамблок,газоблок;2.60;15;2.95;Зданий
просп. Науки;1;3;1977;0;утеплювач,монолітно-каркасний,керамблок;3.20;4;3.11;Зданий
просп. Науки;1;30;1972;0;газоблок;1.40;18;2.84;Зданий
просп. Науки;1;31;1989;0;монолітно-каркасний,керамблок;2.50;5;2.74;Зданий
просп. Науки;1;32;1962;0;цегла сілікатна;1.50;10;3.03;Зданий
просп. Науки;1;33;1976;0;цегла;2.00;7;2.49;Зданий
просп. Науки;1;33А;1978;0;цегла;2.00;21;3.18;Зданий
просп. Науки;1;34;2002;0;цегла сілікатна;1.50;10;2.74;Зданий
просп. Науки;1;35;1983;1;керамблок,вентильований фасад;2.10;13;3.11;Зданий
просп. Науки;1;35корп2;1971;0;вентильований фасад,к/б панель,шлакоблок;3.60;4;3.07;Зданий
просп. Науки;1;35корп3;1993;0;керамблок;1.20;24;2.7;Зданий
просп. Науки;1;35корп4;1987;0;цегла сілікатна,керамблок;2.70;16;2.76;Зданий
просп. Науки;1;36;1960;0;керамблок;1.20;18;2.93;Зданий
просп. Науки;1;36А;1969;0;вентильований фасад,монолітно-каркасний;2.20;2;2.74;Зданий
просп. Науки;1;36Б;1994;0;з/б панель;1.70;1;2.73;Зданий
просп. Науки;1;37;2003;1;монолітно-каркасний,шлакоблок;2.30;23;3.02;Зданий
просп. Науки;1;39;1988;0;цегла сілікатна,цегла;3.50;11;2.73;Зданий
просп. Науки;1;39корп2;1978;0;утеплювач,з/б панель,шлакоблок;3.40;11;2.93;Зданий
просп. Науки;1;4;1975;0;вентильований фасад,к/б панель;2.60;15;3.16;Зданий
просп. Науки;1;40;2009;1;газоблок;1.40;11;2.97;Зданий
просп. Науки;1;40А;1977;0;шлакоблок;1.00;5;2.69;Зданий
просп. Науки;1;41;1981;0;вентильований фасад,к/б панель;2.60;7;3.13;Зданий
просп. Науки;1;41А;1966;0;утеплювач,цегла сілікатна;2.20;8;2.86;Зданий
просп. Науки;1;42;2016;2;шлакоблок,утеплювач;1.70;15;2.93;Зданий
просп. Науки;1;42Б;2021;4;к/б панель;1.70;8;2.58;Зданий
просп. Науки;1;43;1982;0;монолітно-каркасний;1.30;22;2.6;Зданий
просп. Науки;1;44;2011;0;керамблок,к/б панель;2.90;16;2.76;Зданий
просп. Науки;1;45;1981;0;з/б панель;1.70;18;2.5;Зданий
просп. Науки;1;46;1983;1;з/б панель,к/б панель;3.40;22;3.16;Зданий
просп. Науки;1;47;1989;0;з/б панель,вентильований фасад;2.60;8;3.11;Зданий
просп. Науки;1;48;1999;0;цегла сілікатна;1.50;8;2.61;Зданий
просп. Науки;1;49;1992;0;вентильований фасад,керамблок;2.10;7;2.78;Зданий
просп. Науки;1;5;2012;2;газоблок;1.40;7;2.7;Зданий
просп. Науки;1;50;1981;0;монолітно-каркасний,утеплювач;2.00;6;2.4;Зданий
просп. Науки;1;52;1960;0;утеплювач,монолітно-каркасний,к/б панель;3.70;7;2.44;Зданий
просп. Науки;1;54;2018;2;газоблок;1.40;1;2.99;Зданий
просп. Науки;1;54Б;1965;0;цегла,цегла сілікатна;3.50;5;3.18;Зданий
просп. Науки;1;55А;1983;1;з/б панель;1.70;11;3.07;Зданий
просп. Науки;1;57;2014;5;шлакоблок;1.00;5;2.78;Зданий
просп. Науки;1;57А;1993;0;цегла сілікатна,керамблок;2.70;6;2.94;Зданий
просп. Науки;1;58;1974;0;вентильований фасад,к/б панель,керамблок;3.80;1;2.77;Зданий
просп. Науки;1;58А;1974;0;утеплювач,вентильований фасад,газоблок;3.00;22;2.45;Зданий
просп. Науки;1;59;1975;0;монолітно-каркасний;1.30;3;2.55;Зданий
просп. Науки;1;6;1961;0;утеплювач,газоблок,з/б панель;3.80;7;2.78;Зданий
просп. Науки;1;60;2017;5;утеплювач,газоблок;2.10;1;2.82;Зданий
просп. Науки;1;60А;2010;1;цегла сілікатна,цегла;3.50;12;3.13;Зданий
просп. Науки;1;61;2007;1;вентильований фасад,утеплювач;1.60;9;2.54;Зданий
просп. Науки;1;62;1960;0;керамблок,утеплювач;1.90;18;3.05;Зданий
просп. Науки;1;62А;2009;1;газоблок;1.40;19;2.53;Зданий
просп. Науки;1;63;2016;2;керамблок;1.20;21;2.43;Зданий
просп. Науки;1;64;2004;0;керамблок,шлакоблок;2.20;8;2.87;Зданий
просп. Науки;1;65;2000;0;к/б панель;1.70;10;2.58;Зданий
просп. Науки;1;66;1987;0;з/б панель;1.70;11;2.54;Зданий
просп. Науки;1;66-70;2008;1;монолітно-каркасний,цегла,утеплювач;4.00;25;2.8;Невдала будівля
просп. Науки;1;68;2002;0;з/б панель,шлакоблок;2.70;13;2.95;Зданий
просп. Науки;1;69;1962;0;керамблок;1.20;13;2.75;Зданий
просп. Науки;1;70;2010;1;цегла;2.00;14;2.48;Зданий
просп. Науки;1;72;1994;0;керамблок;1.20;3;2.93;Зданий
просп. Науки;1;73;1982;0;керамблок;1.20;5;2.9;Зданий
просп. Науки;1;74;1976;0;газоблок,шлакоблок;2.40;3;2.76;Зданий
просп. Науки;1;74корп2;1969;0;цегла;2.00;13;2.86;Зданий
просп. Науки;1;76;1963;0;цегла сілікатна;1.50;13;2.9;Зданий
просп. Науки;1;78;2004;0;вентильований фасад,цегла сілікатна,з/б панель;4.10;6;2.89;Зданий
